NO,HIVE_AVG_Q1F,HIVE_STD_Q1F,SPARK_AVG_Q1F,SPARK_STD_Q1F,HIVE_AVG_Q1M,HIVE_STD_Q1M,SPARK_AVG_Q1M,SPARK_STD_Q1M,HIVE_AVG_Q2F,HIVE_STD_Q2F,SPARK_AVG_Q2F,SPARK_STD_Q2F,HIVE_AVG_Q2M,HIVE_STD_Q2M,SPARK_AVG_Q2M,SPARK_STD_Q2M,HIVE_AVG_Q3F,HIVE_STD_Q3F,SPARK_AVG_Q3F,SPARK_STD_Q3F,HIVE_AVG_Q3M,HIVE_STD_Q3M,SPARK_AVG_Q3M,SPARK_STD_Q3M,HIVE_AVG_Q4F,HIVE_STD_Q4F,SPARK_AVG_Q4F,SPARK_STD_Q4F,HIVE_AVG_Q4M,HIVE_STD_Q4M,SPARK_AVG_Q4M,SPARK_STD_Q4M,MONGO_AVG_Q1F,MONGO_STD_Q1F,MONGO_AVG_Q1M,MONGO_STD_Q1M,MONGO_AVG_Q2F,MONGO_STD_Q2F,MONGO_AVG_Q2M,MONGO_STD_Q2M,MONGO_AVG_Q3F,MONGO_STD_Q3F,MONGO_AVG_Q3M,MONGO_STD_Q3M,MONGO_AVG_Q4F,MONGO_STD_Q4F,MONGO_AVG_Q4M,MONGO_STD_Q4M
1,19.69,1.22,14.94,0.77,20.35,0.73,15.09,0.45,21.31,0.96,14.88,0.97,21.62,0.51,14.65,0.7,20.47,0.73,14.87,0.85,21.08,0.38,14.61,0.56,21.55,0.54,14.54,0.83,21.59,0.62,14.56,0.76,2.42,0.13,2.53,0.29,2.4,0.08,2.53,0.19,2.39,0.07,2.38,0.07,2.43,0.15,2.38,0.09
2,24.61,0.75,15.9,0.3,24.26,0.41,15.77,0.55,24.2,0.5,15.8,0.57,24.11,0.54,15.35,0.39,24.75,0.53,16.22,0.31,24.75,0.45,16.12,0.84,24.5,0.42,15.32,0.5,24.42,0.34,15.12,0.64,2.8,0.09,2.82,0.11,2.55,0.07,2.53,0.08,2.65,0.07,2.68,0.12,2.59,0.2,2.53,0.12
3,27.84,0.51,15.76,0.94,27.74,0.23,16.53,0.61,25.94,0.33,15.26,0.69,25.94,0.42,15.24,0.64,27.19,0.58,15.78,0.83,27.12,0.46,15.62,0.62,26.03,0.34,15.36,1.35,26.33,0.75,15.2,0.65,3.27,0.1,3.29,0.11,2.66,0.07,2.77,0.09,3.13,0.09,3.13,0.13,2.68,0.11,2.76,0.12
4,30.35,0.39,16.23,0.49,30.38,0.63,16.81,0.92,27.34,0.6,15.61,1.02,27.16,0.5,15.5,0.92,29.16,0.5,15.98,0.67,29.79,0.61,16.14,0.9,28.11,0.71,15.6,0.76,27.68,0.43,15.97,1.08,3.8,0.14,4.0,0.22,3.01,0.34,2.86,0.07,3.68,0.16,3.62,0.12,3.01,0.31,2.94,0.14
5,32.91,0.83,17.16,0.66,32.9,0.61,16.98,0.98,28.31,0.55,15.64,0.68,28.01,0.51,15.84,0.44,31.21,0.81,16.53,0.65,30.99,0.37,16.2,0.85,29.44,0.77,15.97,0.66,29.36,1.08,16.35,0.61,4.05,0.05,4.12,0.09,3.15,0.12,3.11,0.11,3.83,0.12,3.96,0.05,3.19,0.07,3.23,0.09
