NO,HIVE_AVG_Q1F,HIVE_STD_Q1F,SPARK_AVG_Q1F,SPARK_STD_Q1F,HIVE_AVG_Q1M,HIVE_STD_Q1M,SPARK_AVG_Q1M,SPARK_STD_Q1M,HIVE_AVG_Q2F,HIVE_STD_Q2F,SPARK_AVG_Q2F,SPARK_STD_Q2F,HIVE_AVG_Q2M,HIVE_STD_Q2M,SPARK_AVG_Q2M,SPARK_STD_Q2M,HIVE_AVG_Q3F,HIVE_STD_Q3F,SPARK_AVG_Q3F,SPARK_STD_Q3F,HIVE_AVG_Q3M,HIVE_STD_Q3M,SPARK_AVG_Q3M,SPARK_STD_Q3M,HIVE_AVG_Q4F,HIVE_STD_Q4F,SPARK_AVG_Q4F,SPARK_STD_Q4F,HIVE_AVG_Q4M,HIVE_STD_Q4M,SPARK_AVG_Q4M,SPARK_STD_Q4M,MONGO_AVG_Q1F,MONGO_STD_Q1F,MONGO_AVG_Q1M,MONGO_STD_Q1M,MONGO_AVG_Q2F,MONGO_STD_Q2F,MONGO_AVG_Q2M,MONGO_STD_Q2M,MONGO_AVG_Q3F,MONGO_STD_Q3F,MONGO_AVG_Q3M,MONGO_STD_Q3M,MONGO_AVG_Q4F,MONGO_STD_Q4F,MONGO_AVG_Q4M,MONGO_STD_Q4M
1,23.53,0.86,17.25,0.64,23.61,0.93,16.73,0.76,25.03,0.43,16.86,0.91,25.23,0.44,16.89,0.54,24.73,0.37,16.68,0.89,24.44,0.33,16.58,0.68,26.16,0.41,17.14,0.67,26.38,0.39,16.55,0.45,2.59,0.09,2.54,0.07,2.59,0.14,2.61,0.12,2.55,0.09,2.54,0.06,2.49,0.03,2.55,0.16
2,27.98,0.68,18.53,1.2,27.67,0.6,18.12,1.13,27.89,0.4,17.32,1.04,27.77,0.35,17.15,0.77,28.68,0.49,17.65,0.91,28.45,0.38,17.66,0.94,28.38,0.54,17.19,0.57,28.68,0.54,16.91,0.73,3.0,0.09,2.98,0.1,2.69,0.1,2.69,0.1,2.92,0.11,2.89,0.09,2.7,0.14,2.67,0.09
3,31.55,0.3,17.4,0.72,31.75,0.57,18.01,0.55,29.75,0.69,17.37,0.8,29.54,0.51,17.42,0.8,31.33,0.41,18.31,0.77,30.82,0.39,18.12,0.88,30.57,0.69,17.07,0.69,30.24,0.61,17.02,0.94,3.61,0.19,3.64,0.07,3.0,0.12,2.97,0.1,3.44,0.1,3.43,0.09,2.97,0.08,2.97,0.07
4,35.29,0.66,19.02,1.01,35.14,0.88,17.99,1.05,31.02,0.53,17.3,0.57,31.17,0.51,17.39,0.69,34.16,0.6,18.23,1.07,33.96,0.63,18.4,1.01,31.99,0.4,17.31,0.4,31.68,0.37,17.64,0.64,4.35,0.15,4.37,0.09,3.23,0.13,3.12,0.07,4.07,0.19,4.06,0.18,3.25,0.21,3.24,0.11
5,37.9,0.78,18.46,0.6,37.81,0.93,18.42,0.84,32.27,0.46,17.76,0.63,32.45,0.6,17.57,0.52,35.87,0.5,18.36,0.83,35.72,0.43,18.95,0.69,33.77,0.57,17.28,0.57,33.21,0.53,17.73,0.59,4.64,0.1,4.76,0.16,3.52,0.12,3.47,0.14,4.44,0.1,4.43,0.07,3.59,0.11,3.69,0.11
